protocolName,longProtocolName,attributeName,attributeDescription
Network Service,icmp6,#Q_ICMP6_LINK_LAYER_RAW_ADDR,buffer
Network Service,icmp6,#Q_ICMP6_NDP_PREFIX,parent
Network Service,icmp6,#Q_ICMP6_PREFIX,ip6_addr
Network Service,icmp6,#Q_ICMP6_PREFIX_LEN,uint8
Network Service,igmp,#Q_MPA_END,ptr
Network Service,igmp,#Q_IGMP_RECORD,parent
Network Service,igmp,#Q_IGMP_RECORD_NSOURCES,uint16
Mail,imap,#Q_MPA_END,ptr
Mail,imap,#Q_MPA_REQUEST,parent
Mail,imap,#Q_MPA_EMAIL,parent
Mail,imap,#Q_MPA_MSGLIST_ENTRY,parent
Mail,imap,#Q_MPA_ATTACH,parent
Mail,imap,#Q_IMAP_MSGLIST_ATTACH,parent
Mail,imap,#Q_MPA_SENDER_ENTRY,parent
Mail,imap,#Q_MPA_RECEIVER_ENTRY,parent
Mail,imap,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Mail,imap,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Mail,imap,#Q_MPA_ATTACH_CONTENT,buffer
Mail,imap,#Q_MPA_ATTACH_CONTENT_DECODED,buffer
Mail,imap,#Q_MPA_CONTENT_ENTRY,parent
Mail,imap,#Q_MPA_FILE_TYPE,buffer
Mail,imap,#Q_MPA_RECEIVED,parent
Webmail,imp,#Q_MPA_END,ptr
Webmail,imp,#Q_MPA_SENDER_ENTRY,parent
Webmail,imp,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,imp,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,imp,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,imp,#Q_MPA_CONTACT_ENTRY,parent
Webmail,imp,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,imp,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,imp,#Q_MPA_ATTACH,parent
Webmail,imp,#Q_MPA_EMAIL,parent
Network Service,ip,#Q_MPA_INHERIT_KEY,binary
Network Service,ip,#Q_IP_PROTOID,uint8
Network Service,ip,#Q_IP_TOS,uint8
Network Service,ip,#Q_IP_DSCP,uint8
Network Service,ip,#Q_IP_SRC_CLASS,char
Network Service,ip,#Q_IP_DST_CLASS,char
Network Service,ip,#Q_IP_DEFRAG_LEN,uint16
Network Service,ip,#Q_IP_TTL,uint8
Network Service,ip,#Q_IP_FRAG_ID,uint16
Network Service,ip,#Q_IP_PKT_LEN,uint16
Network Service,ip,#Q_IP_ADDRESS,uint8
Network Service,ip,#Q_IP_RESOLV_NAME,uint8
Network Service,ip,#Q_IP_NETADDR,uint8
Network Service,ip,#Q_IP_SRC_ADDR_MD5,binary
Network Service,ip,#Q_IP_DST_ADDR_MD5,binary
Network Service,ip,#Q_IP_SRC_DST_ADDR,binary
Network Service,ip,#Q_IP_SRC_DST_SPORT_PROTO,binary
Network Service,ip,#Q_IP_SRC_DST_DPORT_PROTO,binary
Network Service,ip,#Q_IP_SRC_DST_SPORT_DPORT_PROTO,binary
Network Service,ip,#Q_IP_FIRST_FRAGMENT,uint8
Network Service,ip,#Q_IP_FRAGMENT_LOST,uint8
Network Service,ip,#Q_IP_TTL_TOO_LOW,uint8
Network Service,ip,#Q_IP_WRONG_CRC,uint16
Network Service,ip6,#Q_MPA_VERSION,uint8
Network Service,ip6,#Q_IP6_CLASS,uint8
Network Service,ip6,#Q_IP6_PAYLOAD,uint16
Network Service,ip6,#Q_IP6_PROTOID,uint8
Network Service,ip6,#Q_IP6_HOP_LIMIT,uint8
Network Service,ip6,#Q_IP6_SRC_ADDR,ip6_addr
Network Service,ip6,#Q_IP6_DST_ADDR,ip6_addr
Network Service,ip6,#Q_IP6_CLIENT_ADDR,ip6_addr
Network Service,ip6,#Q_IP6_SERVER_ADDR,ip6_addr
Network Service,ip6,#Q_IP6_ADDRESS,ip6_addr
Network Service,ipcp,#Q_IPCP_CODE,uint8
Network Service,ipcp,#Q_IPCP_IDENTIFIER,uint8
Network Service,ipx,#Q_IPX_CHECKSUM,uint16
Network Service,ipx,#Q_IPX_PKT_SIZE,uint16
Network Service,ipx,#Q_IPX_TCTRL,uint8
Network Service,ipx,#Q_IPX_TYPE,uint8
Network Service,ipx,#Q_IPX_DST_SOCKET,uint16
Network Service,ipx,#Q_IPX_SRC_SOCKET,uint16
Instant Messaging,irc,#Q_MPA_INHERIT_PARENT,binary
Instant Messaging,irc,#Q_MPA_CHAT,parent
Instant Messaging,irc,#Q_MPA_END,ptr
Instant Messaging,irc,#Q_IRC_MODE,parent
Instant Messaging,irc,#Q_MPA_FILE,parent
File Transfer,irc_transfer,#Q_MPA_INHERIT_KEY,binary
File Transfer,irc_transfer,#Q_MPA_CONTENT,buffer
Network Service,isl,#Q_ISL_VLAN,uint16
Network Service,isl,#Q_ISL_INDEX,uint16
Telephony,isup,#Q_MPA_END,ptr
Telephony,isup,#Q_MPA_MESSAGE,parent
Telephony,isup,#Q_MPA_MESSAGE_ID,uint8
Telephony,isup,#Q_ISUP_CALLER_NAT,uint8
Telephony,isup,#Q_ISUP_CALLEE_NAT,uint8
Telephony,isup,#Q_ISUP_CIC,uint16
Telephony,isup,#Q_ISUP_CAUSE,uint8
Telephony,isup,#Q_ISUP_IE_NODE,parent
Telephony,isup,#Q_ISUP_IE_RAW,buffer
Telephony,isup,#Q_ISUP_IE_ID,uint8
Telephony,isup,#Q_ISUP_IE_LEN,uint8
Instant Messaging,jabber,#Q_MPA_END,ptr
Instant Messaging,jabber,#Q_MPA_INHERIT_PARENT,binary
Instant Messaging,jabber,#Q_MPA_CHAT,parent
Instant Messaging,jabber,#Q_MPA_FILE,parent
Instant Messaging,jabber,#Q_MPA_CONTACT_ENTRY,parent
Instant Messaging,jabber,#Q_MPA_CALL,parent
Instant Messaging,jabber,#Q_MPA_CALLER_PORT,uint16
Instant Messaging,jabber,#Q_MPA_CALLEE_PORT,uint16
Instant Messaging,jabber,#Q_MPA_FILE_CHUNK,parent
Instant Messaging,jabber,#Q_MPA_FILE_CHUNK_CONTENT,buffer
File Transfer,jabber_transfer,#Q_MPA_INHERIT_KEY,binary
File Transfer,jabber_transfer,#Q_MPA_CONTENT,buffer
Instant Messaging,kakaotalk,#Q_MPA_END,ptr
Instant Messaging,kakaotalk,#Q_MPA_FILE_CHUNK,buffer
Instant Messaging,kakaotalk,#Q_MPA_REQUEST,parent
Forum,kaskus,#Q_MPA_END,ptr
Forum,kaskus,#Q_MPA_QUERY,parent
Authentication,krb5,#Q_MPA_END,ptr
Authentication,krb5,#Q_KRB5_MESSAGE,parent
Authentication,krb5,#Q_KRB5_ENC_DATA,binary
Authentication,krb5,#Q_KRB5_PA_DATA,parent
Authentication,krb5,#Q_KRB5_PA_DATA_VALUE,binary
Authentication,krb5,#Q_KRB5_TICKET,parent
Authentication,krb5,#Q_KRB5_TICKET_ENC_PART,buffer
Authentication,krb5,#Q_KRB5_ERROR_CODE,int32
Authentication,krb5,#Q_KRB5_ERR_CNAME,parent
Authentication,krb5,#Q_KRB5_ERR_SNAME,parent
Authentication,krb5,#Q_KRB5_ERR_DATA,binary
Tunneling,l2tp,#Q_L2TP_TUNNEL_ID,uint16
Tunneling,l2tp,#Q_L2TP_CALL_ID,uint16
Tunneling,l2tp,#Q_L2TP_ASS_TUNNEL_ID,uint16
Tunneling,l2tp,#Q_L2TP_CHALLENGE,binary
Tunneling,l2tp,#Q_L2TP_RESP_CHALLENGE,binary
Tunneling,l2tp,#Q_L2TP_ASS_CALL_ID,uint16
Webmail,laposte_webmail,#Q_MPA_END,ptr
Network Management,lcp,#Q_LCP_CODE,uint8
Network Management,lcp,#Q_LCP_IDENTIFIER,uint8
Application Service,ldap,#Q_MPA_END,ptr
Application Service,ldap,#Q_MPA_MESSAGE,parent
Application Service,ldap,#Q_LDAP_ELEMENT,parent
Application Service,ldap,#Q_LDAP_VALUE_RAW,buffer
Application Service,ldap,#Q_LDAP_FILTER_EXPRESSION,parent
Application Service,ldap,#Q_LDAP_ASSERTION_VALUE_RAW,buffer
Instant Messaging,line,#Q_MPA_END,ptr
Instant Messaging,line,#Q_MPA_SERVICE_INFO,parent
Instant Messaging,line,#Q_MPA_CALL,parent
Forum,linkedin,#Q_MPA_END,ptr
Forum,linkedin,#Q_MPA_CONTACT_ENTRY,parent
Forum,linkedin,#Q_MPA_QUERY,parent
Forum,linkedin,#Q_MPA_SENDER_ENTRY,parent
Forum,linkedin,#Q_MPA_RECEIVER_ENTRY,parent
Forum,linkedin,#Q_MPA_EMAIL,parent
Forum,linkedin,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Forum,linkedin,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Forum,linkedin,#Q_MPA_MSGLIST_ENTRY,parent
Forum,live_groups,#Q_MPA_END,ptr
Forum,live_groups,#Q_MPA_EMAIL,parent
Forum,live_groups,#Q_MPA_SENDER_ENTRY,parent
Forum,live_groups,#Q_MPA_MEMBER_ENTRY,parent
Forum,live_groups,#Q_MPA_MSGLIST_ENTRY,parent
Forum,live_groups,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,live_hotmail,#Q_MPA_END,ptr
Webmail,live_hotmail,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,live_hotmail,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,live_hotmail,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,live_hotmail,#Q_MPA_EMAIL,parent
Webmail,live_hotmail,#Q_MPA_SENDER_ENTRY,parent
Webmail,live_hotmail,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,live_hotmail,#Q_MPA_ATTACH,parent
Webmail,live_hotmail,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,live_hotmail,#Q_MPA_CONTACT_ENTRY,parent
Webmail,livemail_mobile,#Q_MPA_END,ptr
Webmail,livemail_mobile,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,livemail_mobile,#Q_MPA_SENDER_ENTRY,parent
Webmail,livemail_mobile,#Q_MPA_CONTACT_ENTRY,parent
Webmail,livemail_mobile,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,livemail_mobile,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,livemail_mobile,#Q_MPA_ATTACH_SIZE,int32
Webmail,livemail_mobile,#Q_MPA_ATTACH,parent
Webmail,livemail_mobile,#Q_MPA_EMAIL,parent
Network Service,llc,#Q_LLC_DST_SAP,uint8
Network Service,llc,#Q_LLC_SRC_SAP,uint8
Network Service,llc,#Q_LLC_CONTROL,uint8
Mail,lotusnotes,#Q_MPA_END,ptr
Mail,lotusnotes,#Q_MPA_EMAIL,parent
Mail,lotusnotes,#Q_MPA_CONTENT,buffer
Mail,lotusnotes,#Q_LOTUSNOTES_HEADER,parent
Mail,lotusnotes,#Q_MPA_SENDER_ENTRY,parent
Mail,lotusnotes,#Q_MPA_RECEIVER_ENTRY,parent
Mail,lotusnotes,#Q_MPA_ATTACH,parent
Mail,lotusnotes,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,mailru,#Q_MPA_END,ptr
Webmail,mailru,#Q_MPA_CONTACT_ENTRY,parent
Webmail,mailru,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,mailru,#Q_MPA_SENDER_ENTRY,parent
Webmail,mailru,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,mailru,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,mailru,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,mailru,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,mailru,#Q_MPA_ATTACH,parent
Webmail,mailru,#Q_MPA_EMAIL,parent
Webmail,mailru,#Q_MPA_FOLDERLIST_ITEM,parent
Webmail,mailru,#Q_MPA_FOLDERLIST,parent
Webmail,maktoob,#Q_MPA_END,ptr
Webmail,maktoob,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,maktoob,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,maktoob,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,maktoob,#Q_MPA_EMAIL,parent
Webmail,maktoob,#Q_MPA_SENDER_ENTRY,parent
Webmail,maktoob,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,maktoob,#Q_MPA_ATTACH,parent
Webmail,maktoob,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,maktoob,#Q_MPA_CONTACT_ENTRY,parent
Web,mandriva_update,#Q_MPA_PACKAGE,parent
Web,mandriva_update,#Q_MPA_END,ptr
Mail,mapi,#Q_MPA_END,ptr
Mail,mapi,#Q_MPA_EMAIL,parent
Mail,mapi,#Q_MPA_SUBJECT,buffer
Mail,mapi,#Q_MPA_CONTENT,buffer
Mail,mapi,#Q_MPA_SENDER_ENTRY,parent
Mail,mapi,#Q_MPA_SENDER,buffer
Mail,mapi,#Q_MPA_SENDER_ALIAS,buffer
Mail,mapi,#Q_MPA_SENDER_EMAIL,buffer
Mail,mapi,#Q_MPA_RECEIVER_ENTRY,parent
Mail,mapi,#Q_MPA_RECEIVER,buffer
Mail,mapi,#Q_MPA_RECEIVER_ALIAS,buffer
Mail,mapi,#Q_MPA_RECEIVER_EMAIL,buffer
Mail,mapi,#Q_MPA_ATTACH,parent
Mail,mapi,#Q_MPA_ATTACH_FILENAME,buffer
Mail,mapi,#Q_MPA_ATTACH_CONTENT,buffer
Mail,mapi,#Q_MPA_ATTACH_SIZE,int32
Mail,mapi,#Q_MPA_MSGLIST_ENTRY,parent
Mail,mapi,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Mail,mapi,#Q_MPA_MSGLIST_SENDER,buffer
Mail,mapi,#Q_MPA_MSGLIST_SUBJECT,buffer
Mail,mapi,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Mail,mapi,#Q_MPA_MSGLIST_RECEIVER,buffer
Mail,mapi,#Q_MPA_MSGLIST_RECEIVER_EMAIL,buffer
Mail,mapi,#Q_MAPI_APPOINTMENT_LOCATION,buffer
Mail,mapi,#Q_MPA_CONTACT_ENTRY,parent
Mail,mapi,#Q_MPA_CONTACT_EMAIL,buffer
Mail,mapi,#Q_MPA_CONTACT_ALIAS,buffer
Web,mashare,#Q_MPA_END,ptr
Web,mashare,#Q_MPA_FILE,parent
Web,mashare,#Q_MPA_CONTENT,buffer
Audio/Video,mgcp,#Q_MPA_END,ptr
Audio/Video,mgcp,#Q_MPA_INHERIT_PARENT,binary
Audio/Video,mgcp,#Q_MGCP_INFO,parent
Audio/Video,mgcp,#Q_MPA_CALL,parent
Audio/Video,mgcp,#Q_MGCP_STATS,parent
Audio/Video,mgcp,#Q_MPA_MEDIA_DESC,parent
Audio/Video,mgcp,#Q_MPA_DATA_PORT,uint16
Audio/Video,mgcp,#Q_MPA_MEDIA_ATTR,parent
Audio/Video,mgcp,#Q_MPA_MEDIA_ATTR_ADDR_V6,ip6_addr
Audio/Video,mgcp,#Q_MPA_MEDIA_ATTR_PORT,uint16
Webmail,mimp,#Q_MPA_END,ptr
Webmail,mimp,#Q_MPA_ATTACH,parent
Webmail,mimp,#Q_MPA_SENDER_ENTRY,parent
Webmail,mimp,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,mimp,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,mimp,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,mimp,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,mimp,#Q_MPA_EMAIL,parent
Wap,mmse,#Q_MPA_END,ptr
Wap,mmse,#Q_MMSE_MESSAGE_CODE,uint8
Wap,mmse,#Q_MPA_CONTENT,buffer
Wap,mmse,#Q_MMSE_CONTENT_PART,parent
Wap,mmse,#Q_MMSE_CONTENT_PART_DATA,buffer
Routing,mpls,#Q_MPLS_EXP,uint8
Routing,mpls,#Q_MPLS_BOS,uint8
Routing,mpls,#Q_MPLS_TTL,uint8
Instant Messaging,mplus_messenger,#Q_MPA_END,ptr
Instant Messaging,mplus_messenger,#Q_MPA_SERVICE_INFO,parent
Instant Messaging,msn,#Q_MPA_END,ptr
Instant Messaging,msn,#Q_MPA_INHERIT_KEY,binary
Instant Messaging,msn,#Q_MPA_INHERIT_PARENT,binary
Instant Messaging,msn,#Q_MPA_CHAT,parent
Instant Messaging,msn,#Q_MSN_REQUEST,parent
Instant Messaging,msn,#Q_MPA_FILENAME_UTF16,buffer
Instant Messaging,msn,#Q_MPA_FILE_CHUNK,parent
Instant Messaging,msn,#Q_MPA_FILE_CHUNK_CONTENT,buffer
Web,msn_search,#Q_MPA_END,ptr
Web,msn_search,#Q_MPA_QUERY,parent
Audio/Video,msn_video,#Q_MPA_INHERIT_KEY,binary
Audio/Video,msrp,#Q_MPA_END,ptr
Audio/Video,msrp,#Q_MSRP_URI_ENTRY,parent
Audio/Video,msrp,#Q_MSRP_PATH_ENTRY,parent
Peer to Peer,mute,#Q_MPA_PEER_INFO,
Web,myspace,#Q_MPA_END,ptr
Web,myspace,#Q_MPA_QUERY,parent
Web,myspace,#Q_MPA_ACCOUNT,parent
Audio/Video,netflix,#Q_MPA_END,ptr
Audio/Video,netflix,#Q_NETFLIX_VIDEO,parent
Network Management,netflow,#Q_MPA_VERSION,uint16
Network Management,netflow,#Q_NETFLOW_COUNT,uint16
Web,netlog,#Q_MPA_END,ptr
Web,netlog,#Q_MPA_ACCOUNT,parent
File Server,nfs,#Q_MPA_END,ptr
File Server,nfs,#Q_NFS_COMMAND,parent
File Server,nfs,#Q_NFS_FILE,parent
File Server,nfs,#Q_NFS_FILE_HANDLE,binary
File Server,nfs,#Q_MPA_CONTENT,buffer
Audio/Video,niconico_douga,#Q_MPA_END,ptr
Audio/Video,niconico_douga,#Q_MPA_QUERY,parent
Audio/Video,niconico_douga,#Q_NICONICO_DOUGA_VIDEO,parent
Audio/Video,niconico_douga,#Q_MPA_ACCOUNT,parent
Network Service,ntp,#Q_MPA_VERSION,uint8
Network Service,ntp,#Q_NTP_POLL_INTERVAL,uint16
Forum,odnoklassniki,#Q_MPA_END,ptr
Forum,odnoklassniki,#Q_MPA_CONTACT_ENTRY,parent
Forum,odnoklassniki,#Q_MPA_ACCOUNT,parent
Tunneling,openvpn,#Q_OPENVPN_OPCODE,uint8
Webmail,orangemail,#Q_MPA_END,ptr
Webmail,orangemail,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,orangemail,#Q_MPA_ATTACH,parent
Webmail,orangemail,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,orangemail,#Q_MPA_SENDER_ENTRY,parent
Webmail,orangemail,#Q_MPA_EMAIL,parent
Webmail,orangemail,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,orangemail,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,orangemail,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,orangemail,#Q_MPA_CONTACT_ENTRY,parent
Routing,ospf,#Q_MPA_END,ptr
Routing,ospf,#Q_MPA_VERSION,uint8
Routing,ospf,#Q_OSPF_AUTH_DATA,binary
Routing,ospf,#Q_OSPF_HELLO_INTERVAL,uint16
Routing,ospf,#Q_OSPF_PRIO,uint8
Routing,ospf,#Q_OSPF_LS_ENTRY,parent
Routing,ospf,#Q_OSPF_LS_AGE,uint16
Routing,ospf,#Q_OSPF_LS_FLAGS_V,uint8
Routing,ospf,#Q_OSPF_LS_FLAGS_E,uint8
Routing,ospf,#Q_OSPF_LS_FLAGS_B,uint8
Routing,ospf,#Q_OSPF_LS_OPTIONS,uint8
Routing,ospf,#Q_OSPF_LINK_ENTRY,parent
Routing,ospf,#Q_OSPF_LINK_TYPE,uint8
Routing,ospf,#Q_OSPF_INTERFACE_MTU,uint16
Routing,ospf,#Q_OSPF_OPTIONS,uint8
Routing,ospf,#Q_OSPF_FLAGS_I,uint8
Routing,ospf,#Q_OSPF_FLAGS_M,uint8
Routing,ospf,#Q_OSPF_FLAGS_MS,uint8
Routing,ospf,#Q_OSPF_EXTERNAL_ENTRY,parent
Webmail,owa,#Q_MPA_END,ptr
Webmail,owa,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,owa,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,owa,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,owa,#Q_MPA_SENDER_ENTRY,parent
Webmail,owa,#Q_MPA_CONTACT_ENTRY,parent
Webmail,owa,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,owa,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,owa,#Q_MPA_ATTACH,parent
Webmail,owa,#Q_MPA_EMAIL,parent
Instant Messaging,paltalk,#Q_MPA_END,ptr
Instant Messaging,paltalk,#Q_MPA_INHERIT_PARENT,binary
Instant Messaging,paltalk,#Q_MPA_INHERIT_KEY,binary
Instant Messaging,paltalk,#Q_MPA_PROTO_VERSION,uint16
Instant Messaging,paltalk,#Q_MPA_CONTACT_ENTRY,parent
Instant Messaging,paltalk,#Q_MPA_CHAT,parent
Instant Messaging,paltalk,#Q_MPA_CALL,parent
Audio/Video,paltalk_audio,#Q_MPA_INHERIT_KEY,binary
File Transfer,paltalk_transfer,#Q_MPA_END,ptr
File Transfer,paltalk_transfer,#Q_MPA_INHERIT_KEY,binary
File Transfer,paltalk_transfer,#Q_MPA_FILE,parent
File Transfer,paltalk_transfer,#Q_MPA_CONTENT,buffer
Audio/Video,paltalk_video,#Q_MPA_INHERIT_KEY,binary
Application Service,perforce,#Q_MPA_END,ptr
Application Service,perforce,#Q_PERFORCE_PARAMETER,parent
Web,perfspot,#Q_MPA_END,ptr
Web,perfspot,#Q_MPA_ACCOUNT,parent
Mail,pop3,#Q_MPA_END,ptr
Mail,pop3,#Q_MPA_EMAIL,parent
Mail,pop3,#Q_MPA_SENDER_ENTRY,parent
Mail,pop3,#Q_MPA_RECEIVER_ENTRY,parent
Mail,pop3,#Q_MPA_REQUEST,parent
Mail,pop3,#Q_MPA_CONTENT_ENTRY,parent
Mail,pop3,#Q_MPA_ATTACH,parent
Mail,pop3,#Q_MPA_ATTACH_CONTENT,buffer
Mail,pop3,#Q_MPA_ATTACH_CONTENT_DECODED,buffer
Mail,pop3,#Q_MPA_RECEIVED,parent
Database,postgres,#Q_MPA_END,ptr
Database,postgres,#Q_MPA_REQUEST,parent
Tunneling,pppoe,#Q_PPPOE_VERSION,uint8
Tunneling,pppoe,#Q_PPPOE_TYPE,uint8
Tunneling,pppoe,#Q_PPPOE_CODE,uint8
Tunneling,pppoe,#Q_PPPOE_SESSION_ID,uint16
Web,pricerunner,#Q_MPA_END,ptr
Web,pricerunner,#Q_MPA_QUERY,parent
Audio/Video,q931,#Q_MPA_END,ptr
Audio/Video,q931,#Q_MPA_CALL,parent
Audio/Video,q931,#Q_Q931_CAUSE_CODE,uint8
Audio/Video,q931,#Q_Q931_REF_FLAG,uint8
Instant Messaging,qq,#Q_QQ_CALL_DATA,buffer
File Transfer,qq_transfer,#Q_MPA_END,ptr
File Transfer,qq_transfer,#Q_MPA_FILE,parent
File Transfer,qq_transfer,#Q_MPA_CONTENT,buffer
Audio/Video,qvod,#Q_MPA_END,ptr
Audio/Video,qvod,#Q_QVOD_PEER_PORT,uint16
Audio/Video,qvod,#Q_QVOD_PEER,parent
Authentication,radius,#Q_MPA_END,ptr
Authentication,radius,#Q_MPA_INHERIT_PARENT,binary
Authentication,radius,#Q_RADIUS_REQUEST,parent
Authentication,radius,#Q_RADIUS_CODE,uint8
Authentication,radius,#Q_RADIUS_ID,uint8
Authentication,radius,#Q_RADIUS_NAS_IPV6,ip6_addr
Authentication,radius,#Q_RADIUS_LOGIN_IPV6_HOST,ip6_addr
Authentication,radius,#Q_RADIUS_FRAMED_IPV6_PREFIX,buffer
Authentication,radius,#Q_RADIUS_DELEGATED_IPV6_PREFIX,buffer
Authentication,radius,#Q_RADIUS_AVP,parent
Authentication,radius,#Q_RADIUS_AVP_TYPE,uint8
Authentication,radius,#Q_RADIUS_AVP_TAG,uint8
Authentication,radius,#Q_RADIUS_AVP_IPV6,ip6_addr
Authentication,radius,#Q_RADIUS_AVP_CHAP_ID,uint8
Authentication,radius,#Q_RADIUS_AVP_PREFIX,buffer
Authentication,radius,#Q_RADIUS_AVP_SALT,uint16
Web,rambler,#Q_MPA_END,ptr
Web,rambler,#Q_MPA_QUERY,parent
Web,rambler,#Q_MPA_ACCOUNT,parent
Webmail,rambler_webmail,#Q_MPA_END,ptr
Webmail,rambler_webmail,#Q_MPA_CONTACT_ENTRY,parent
Webmail,rambler_webmail,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,rambler_webmail,#Q_MPA_EMAIL,parent
Webmail,rambler_webmail,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,rambler_webmail,#Q_MPA_ATTACH,parent
Webmail,rambler_webmail,#Q_MPA_FOLDERLIST_ITEM,parent
Webmail,rambler_webmail,#Q_MPA_FOLDERLIST,parent
Webmail,rambler_webmail,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,rambler_webmail,#Q_MPA_SENDER_ENTRY,parent
Webmail,rambler_webmail,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,rambler_webmail,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,rambler_webmail,#Q_MPA_ACCOUNT,parent
Web,rapidshare,#Q_MPA_END,ptr
Web,rapidshare,#Q_MPA_REQUEST,parent
Thin Client,rdp,#Q_MPA_END,ptr
Thin Client,rdp,#Q_RDP_HOSTNAME_RAW,binary
Thin Client,rdp,#Q_RDP_DOMAIN_RAW,binary
Thin Client,rdp,#Q_RDP_USERNAME_RAW,binary
Thin Client,rdp,#Q_RDP_CHANNEL,parent
Audio/Video,rdt,#Q_MPA_INHERIT_KEY,binary
Web,redhat_update,#Q_MPA_KERNEL,parent
Web,redhat_update,#Q_MPA_PACKAGE,parent
Web,redhat_update,#Q_MPA_END,ptr
Routing,rip2,#Q_MPA_END,ptr
Routing,rip2,#Q_RIP2_IP_ENTRY,parent
Routing,rip2,#Q_RIP2_ADDR_FAMILY,uint16
Routing,rip2,#Q_RIP2_ROUTE_TAG,uint16
Routing,rip2,#Q_RIP2_AUTH_TYPE,uint16
Audio/Video,rtcp,#Q_MPA_END,ptr
Audio/Video,rtcp,#Q_MPA_INHERIT_KEY,binary
Audio/Video,rtcp,#Q_RTCP_RECEIVER_REPORT,parent
Audio/Video,rtcp,#Q_RTCP_RR_RPTBLOCK,parent
Audio/Video,rtcp,#Q_RTCP_RR_FCNLOST,uint8
Audio/Video,rtcp,#Q_RTCP_SENDER_REPORT,parent
Audio/Video,rtcp,#Q_RTCP_SR_SENDER_INFO,parent
Audio/Video,rtcp,#Q_RTCP_SR_RPTBLOCK,parent
Audio/Video,rtcp,#Q_RTCP_SR_FCNLOST,uint8
Network Service,rtmp,#Q_MPA_END,ptr
Network Service,rtmp,#Q_RTMP_STREAM,parent
Network Service,rtmp,#Q_RTMP_LIVE_STREAM_INDICATOR,uint8
Audio/Video,rtp,#Q_MPA_END,ptr
Audio/Video,rtp,#Q_MPA_INHERIT_KEY,binary
Audio/Video,rtp,#Q_MPA_INHERIT_PARENT,binary
Audio/Video,rtp,#Q_RTP_CODEC,parent
Audio/Video,rtp,#Q_RTP_CODEC_INDEX,uint8
Audio/Video,rtp,#Q_RTP_LOST,uint8
Audio/Video,rtp,#Q_RTP_SNUMBER,uint16
Audio/Video,rtp,#Q_RTP_PAYLOAD_DATA,buffer
Audio/Video,rtsp,#Q_MPA_END,ptr
Audio/Video,rtsp,#Q_MPA_INHERIT_PARENT,binary
Audio/Video,rtsp,#Q_RTSP_REQUEST,parent
Audio/Video,rtsp,#Q_RTSP_RTP_CLIENT_PORT,uint16
